run,id,phase,operation,parent_ids,hcv,scv,fitness,node_count,tree_depth,tree,canonical
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,init-i0,-1,initial,,6,4.870,34.089,3,2,(+ a b),(+ a b)
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,init-i1,-1,initial,,6,4.730,33.110,10,3,(if (< e h) (* c d) (+ f g)),(if (< e h) (* c d) (+ f g))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,init-i2,-1,initial,,45,2.211,101.707,7,3,(* (+ a b) (- c d)),(* (+ a b) (- c d))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,init-i3,-1,initial,,8,4.761,42.845,7,3,(+ (* a b) (/ f g)),(+ (* a b) (/ f g))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,init-i4,-1,initial,,9,4.761,47.605,3,2,(+ a b),(+ a b)
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,init-i5,-1,initial,,8,4.555,40.993,10,3,(if (< e h) (* c d) (+ f g)),(if (< e h) (* c d) (+ f g))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,init-i6,-1,initial,,51,2.394,124.479,7,3,(* (+ a b) (- c d)),(* (+ a b) (- c d))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,init-i7,-1,initial,,11,4.740,56.881,7,3,(+ (* a b) (/ c d)),(+ (* a b) (/ c d))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,init-i8,-1,initial,,15,4.304,68.864,7,4,(+ a (+ b (* c d))),(+ (+ (* c d) b) a)
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,init-i9,-1,initial,,28,3.831,111.107,10,3,(if (< e f) (* g h) (+ a b)),(if (< e f) (* g h) (+ a b))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,init-i10,-1,initial,,54,2.368,130.245,7,3,(* (+ d e) (- f g)),(* (+ d e) (- f g))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,init-i11,-1,initial,,10,4.857,53.422,10,4,(+ (+ a b) (if (> c d) e f)),(+ (+ a b) (if (< d c) e f))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,init-i12,-1,initial,,10,4.736,52.091,3,2,(+ a b),(+ a b)
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,init-i13,-1,initial,,15,4.456,71.292,10,3,(if (< e h) (* c d) (+ f g)),(if (< e h) (* c d) (+ f g))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,init-i14,-1,initial,,56,1.831,104.366,7,3,(* (+ a b) (- c d)),(* (+ a b) (- c d))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,init-i15,-1,initial,,8,4.646,41.816,7,3,(+ (* a b) (/ f g)),(+ (* a b) (/ f g))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,init-i16,-1,initial,,8,4.569,41.124,7,4,(+ a (+ b (* c d))),(+ (+ (* c d) b) a)
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,init-i17,-1,initial,,34,3.475,121.608,10,3,(if (< e f) (* g h) (+ a b)),(if (< e f) (* g h) (+ a b))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,init-i18,-1,initial,,7,4.807,38.456,7,3,(- (* a b) (+ c d)),(- (* a b) (+ c d))
