run,operation,phase,valid,failure_category,latency_seconds,prompt_tokens,completion_tokens,is_runaway
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,initial,-1,True,,6.436,750,46,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,initial,-1,True,,0.371,750,46,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,initial,-1,True,,0.443,750,56,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,initial,-1,True,,0.387,750,46,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,initial,-1,True,,0.432,750,53,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,0,True,,0.701,955,42,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,0,False,unchanged_parent,0.414,951,31,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,0,True,,0.356,978,45,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,0,True,,0.390,956,33,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,0,True,,0.488,957,42,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,0,False,depth_exceeded,0.396,953,29,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,0,True,,0.235,979,27,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,0,True,,0.550,871,20,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,0,True,,0.354,874,30,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,0,False,unchanged_parent,0.271,880,20,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,0,True,,0.210,907,23,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,0,True,,0.496,950,35,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,0,False,runaway_unterminated_json,14.088,956,2048,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,0,True,,0.444,1001,31,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,0,True,,0.428,875,23,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,0,True,,0.476,956,32,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,1,True,,0.438,882,24,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,1,True,,0.280,875,20,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,1,True,,0.514,963,37,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,1,True,,0.268,875,20,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,1,True,,0.510,963,37,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,1,True,,0.492,958,45,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,1,True,,0.486,959,45,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,1,True,,0.479,958,45,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,1,False,depth_exceeded,0.596,959,58,False
