run,phase,raw_generation,population_size,best_hcv,best_scv,best_fitness,feasible_count,feasible_fraction,best_so_far_hcv,best_so_far_scv,elitism_loss_fitness,regressed_vs_best_so_far,mean_fitness,mean_hcv,mean_scv,mean_node_count,mean_depth
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,-1,-1,20,6,4.730,33.110,0,0.000,6.000,4.730,0.000,False,68.321,19.950,4.074,7.400,3.050
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,0,0,20,5,4.735,28.408,0,0.000,5.000,4.735,0.000,False,76.643,20.950,4.231,10.650,3.600
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,1,1,20,3,4.880,19.520,0,0.000,3.000,4.880,0.000,False,70.099,17.850,4.356,12.250,3.800
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,2,2,20,3,4.880,19.520,0,0.000,3.000,4.880,0.000,False,77.695,19.550,4.369,12.800,3.850
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,3,3,20,3,4.880,19.520,0,0.000,3.000,4.880,0.000,False,54.629,12.750,4.579,13.650,4.000
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,4,4,20,2,4.847,14.540,0,0.000,2.000,4.847,0.000,False,55.599,14.150,4.434,12.950,3.950
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,5,5,20,0,4.656,4.656,1,0.050,0.000,4.656,0.000,False,42.016,7.800,4.788,13.550,3.950
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,6,6,20,0,4.656,4.656,3,0.150,0.000,4.656,0.000,False,61.008,14.100,4.492,14.400,4.000
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,7,7,20,0,4.656,4.656,1,0.050,0.000,4.656,0.000,False,83.738,21.550,4.179,15.900,4.000
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,8,8,20,0,4.643,4.643,2,0.100,0.000,4.643,0.000,False,59.803,12.850,4.585,16.600,4.000
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,9,9,20,0,4.643,4.643,2,0.100,0.000,4.643,0.000,False,58.903,13.750,4.490,17.300,4.000
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,-1,-1,20,6,4.522,31.651,0,0.000,6.000,4.522,0.000,False,82.121,25.600,3.787,7.650,3.100
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,0,0,20,3,4.541,18.165,0,0.000,3.000,4.541,0.000,False,55.518,11.600,4.545,9.850,3.700
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,1,1,20,3,4.541,18.165,0,0.000,3.000,4.541,0.000,False,57.631,12.050,4.635,10.150,3.750
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,2,2,20,1,5.169,10.337,0,0.000,1.000,5.169,0.000,False,58.289,15.050,4.402,10.700,3.800
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,3,3,20,1,4.845,9.691,0,0.000,1.000,4.845,0.000,False,56.824,13.150,4.549,11.350,3.900
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,4,4,20,0,4.814,4.814,1,0.050,0.000,4.814,0.000,False,43.399,8.650,4.770,11.950,3.900
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,5,5,20,0,4.814,4.814,2,0.100,0.000,4.814,0.000,False,58.153,12.950,4.583,11.000,3.600
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,6,6,20,0,4.681,4.681,2,0.100,0.000,4.681,0.000,False,44.797,9.650,4.647,11.600,3.900
